0,1,2,3,4,5
과     목,주석,제 13(당)기 반기말,,제 12(전)기 기말,
Ⅰ.자산,,,,,
1.유동자산,,,"193,367,081,291",,"246,898,768,144"
(1)현금및현금성자산,"5,13,25,26",,"29,315,045,387",,"42,980,701,880"
현금,,"29,419,709,787",,"43,073,725,672",
정부보조금,,"(3,271)",,"(66,721,134)",
수탁사업자금,,"(104,661,129)",,"(26,302,658)",
(2)유동금융자산,"25,26",,"33,870,455,003",,"53,313,108,084"
당기손익-공정가치측정금융자산(유동),7,"13,870,455,003",,"13,313,108,084",
유동상각후원가측정금융자산,8,"20,000,000,000",,"40,000,000,000",
(3)매출채권및기타채권,6,,"129,468,093,334",,"148,921,328,701"
단기매출채권,,"127,163,279,193",,"146,528,652,799",
단기미수금,,"923,246,591",,"1,491,660,663",
단기미수수익,,"1,381,567,550",,"901,015,239",
(4)재고자산,10,,"26,825,994",,"40,379,295"
저장품,,"26,825,994",,"40,379,295",
(5)당기법인세자산,,,"406,037,840",,"1,283,521,020"
(6)선급법인지방세,,,"40,601,890",,"128,346,440"
(7)유동비금융자산,11,,"240,021,843",,"231,382,724"
단기선급비용,,"5,800,670",,"133,372,192",
기타유동비금융자산,,"234,221,173",,"98,010,532",
2.비유동자산,,,"283,404,918,197",,"258,718,667,283"
(1)비유동금융자산,"25,26",,"146,808,030,961",,"118,591,583,221"
"당기손익-공정가치측정금융자산
    (비유동)",7,"66,126,207,664",,"34,180,123,599",
"기타포괄손익-공정가치측정금융자산
    (비유동)",7,"70,452,883,000",,"74,176,766,000",
비유동상각후원가측정금융자산,8,"10,055,866,119",,"10,069,602,566",
장기대여금및수취채권,9,"188,040,864",,"178,828,592",
장기대여금현재가치할인차금,,"(14,966,686)",,"(13,737,536)",
(2)장기매출채권및기타채권,"6,25,26",,"1,328,054,792",,"1,470,836,230"
장기보증금,,"1,344,225,880",,"1,494,225,880",
현재가치할인차금,,"(16,171,088)",,"(23,389,650)",
(3)유형자산,"12,13",,"27,059,891,141",,"28,176,488,833"
토지,,"7,352,802,560",,"7,406,971,889",
건물,,"46,215,209,738",,"46,460,375,290",
